feature,mean_abs_shap,corr_with_shap,direction
lambda_aligned,0.8146603910729694,0.9877840932890593,higher value -> WIN
bd_lambda,0.38181848987442607,0.9888846183414186,higher value -> WIN
lambda_val,0.3029035999573466,0.40257981678331517,higher value -> WIN
lambda_zscore,0.26881633106239844,0.5574227112191928,higher value -> WIN
har_rv_forecast,0.16171321573963848,0.46151327789933666,higher value -> WIN
rvol,0.09269181034451617,0.6566534773971989,higher value -> WIN
rr_planned,0.078822253104557,-0.18553729059587992,higher value -> LOSS
hmm_stress_prob,0.07344686079730994,0.7727179980193453,higher value -> WIN
occ_first_bar_ret,0.048098696090498924,-0.7841125800337605,higher value -> LOSS
dir_long,0.04708887778350494,-0.9334503621661866,higher value -> LOSS
hmm_bull_prob,0.04698536536589674,0.14961778948050972,higher value -> WIN
atr_5,0.046819956267451286,-0.4575322179149112,higher value -> LOSS
atr_20,0.04535467278712997,0.2654434600107669,higher value -> WIN
trend_dir_ord,0.04393552518516797,-0.6685533275968367,higher value -> LOSS
bd_tsmom,0.043359481493835735,0.9516280243639806,higher value -> WIN
hmm_strong_prob,0.04307517234387388,-0.18889228596900354,higher value -> LOSS
minute,0.03928180576297331,0.9051142456084975,higher value -> WIN
bd_cvd,0.03901937383293578,-0.9628981989193506,higher value -> LOSS
atr,0.03875211112435841,-0.14658152969425184,higher value -> LOSS
minute_of_day,0.03842964654495331,0.8475236622801665,higher value -> WIN
hmm_bear_prob,0.03758928820839814,-0.4772772218054483,higher value -> LOSS
hmm_neutral_prob,0.03709827995828551,0.3926632375391188,higher value -> WIN
bd_overnight,0.03369348186638053,0.9519206224484075,higher value -> WIN
open_type_cat,0.0309307192582933,,'mixed'(+0.065) vs 'trend'(-0.027)
score,0.024311483674087496,0.8939076296441806,higher value -> WIN
tsmom_conviction,0.021640554231822557,-0.5470114874241133,higher value -> LOSS
vol_regime_cat,0.02015500016772581,,'normal'(+0.012) vs 'compressed'(-0.056)
risk_pts,0.017445951519999458,-0.706011457500213,higher value -> LOSS
tsmom_return_30m,0.015869438903100854,-0.22502673862434971,higher value -> LOSS
overnight_type_cat,0.014944472063488085,,'neutral'(+0.013) vs 'rotation'(-0.019)
stop_mult,0.009902265388465309,-0.9656326222890981,higher value -> LOSS
reward_pts_planned,0.009594769232132969,0.2983584147113366,higher value -> WIN
hmm_state_ord,0.00867973401335801,-0.45126510474406917,higher value -> LOSS
har_vol_regime_cat,0.005904079861516188,,'low'(+0.004) vs 'high'(-0.016)
occ_dir_cat,0.005545586009891802,,'neutral'(+0.005) vs 'long'(-0.006)
bd_hmm,0.004958901874115783,-0.9209114608077987,higher value -> LOSS
tsmom_bias_cat,0.0028030110684062882,,'neutral'(+0.004) vs 'short'(-0.002)
bd_occ,0.0019504749405119019,-0.7879574055867293,higher value -> LOSS
hour,0.0017158027779381876,0.6998865251922588,higher value -> WIN
bd_rvol,0.0014770764649334979,-0.24796713826835964,higher value -> LOSS
trend_dir_cat,0.0,,'strong_bull'(+0.000) vs 'bear'(0.000)
nq_es_signal_cat,0.0,,'nq_extended'(+0.000) vs 'neutral'(0.000)
bd_absorption,0.0,,no clear monotonic direction
rvol_regime_cat,0.0,,'thin'(+0.000) vs 'climax'(0.000)
bd_smh,0.0,,no clear monotonic direction
bd_cot,0.0,,no clear monotonic direction
bd_avwap,0.0,,no clear monotonic direction
breadth_bias_cat,0.0,,'neutral'(+0.000) vs 'bullish'(0.000)
cot_bias_cat,0.0,,'neutral'(+0.000) vs 'extreme_long'(0.000)
bd_breadth,0.0,,no clear monotonic direction
vix_term_cat,0.0,,'deep_contango'(+0.000) vs 'contango'(0.000)
bd_memory,0.0,,no clear monotonic direction
macro_combined_cat,0.0,,'tailwind'(+0.000) vs 'headwind'(0.000)
smh_signal_cat,0.0,,single level
sector_bias_cat,0.0,,'neutral'(+0.000) vs 'bearish'(0.000)
occ_conviction_cat,0.0,,'normal'(+0.000) vs 'low'(0.000)
vix_regime_cat,0.0,,'normal'(+0.000) vs 'elevated'(0.000)
hmm_state_cat,0.0,,'strong_bull'(+0.000) vs 'bear'(0.000)
gex_bias_cat,0.0,,'neutral'(+0.000) vs 'mean_rev'(0.000)
vwap_at_entry,0.0,,no clear monotonic direction
bd_open_type,0.0,,no clear monotonic direction
bd_conviction,0.0,,no clear monotonic direction
vix,0.0,,no clear monotonic direction
vix3m,0.0,,no clear monotonic direction
vvix,0.0,,no clear monotonic direction
gex_bias_ord,0.0,,no clear monotonic direction
gex_ratio,0.0,,no clear monotonic direction
tsmom_bias_ord,0.0,,no clear monotonic direction
tsmom_available,0.0,,no clear monotonic direction
sector_rs_ratio,0.0,,no clear monotonic direction
sector_rs_vs_sma,0.0,,no clear monotonic direction
smh_rs_slope,0.0,,no clear monotonic direction
macro_dxy_ret,0.0,,no clear monotonic direction
macro_tnx_chg_bps,0.0,,no clear monotonic direction
nq_es_zscore,0.0,,no clear monotonic direction
cot_index,0.0,,no clear monotonic direction
breadth_addn,0.0,,no clear monotonic direction
avwap_near,0.0,,no clear monotonic direction
avwap_confluence,0.0,,no clear monotonic direction
setup_atr_ratio,0.0,,no clear monotonic direction
deviation_std,0.0,,no clear monotonic direction
bd_gex,0.0,,no clear monotonic direction
bd_es,0.0,,no clear monotonic direction
bd_vix_term,0.0,,no clear monotonic direction
bd_sector,0.0,,no clear monotonic direction
bd_macro,0.0,,no clear monotonic direction
bd_nq_es_spread,0.0,,no clear monotonic direction
entry_type_cat,0.0,,single level
